Model,Test Set,Finetune,Best Threshold,Total File Pairs,Max Avg Dice Score,Avg Dice Score,Avg BCD_2D,Avg Hausdorff Distance 2D
unet,cracks,cracks experts,0.36,,,,14.52941463913203,
unet,cracks,cracks experts,0.56,340.0,0.5506456697599692,0.363949826357658,,
unet,cracks,cracks experts,0.21,,,,,11.200245961323464
unet,cracks,cracks prac,0.01,,,,30.93021276149402,
unet,cracks,cracks prac,0.01,340.0,0.16501879150899484,0.17043492747063682,,
unet,cracks,cracks prac,0.01,,,,,21.764821304653303
unet,cracks,cracks novice,0.01,,,,18.276016709912195,
unet,cracks,cracks novice,0.01,340.0,0.2858816302367577,0.2734255002930936,,
unet,cracks,cracks novice,0.01,,,,,13.192503186412473
unet,cracks,thebe,0.16,,,,31.18234516338376,
unet,cracks,thebe,0.16,340.0,0.12719938552797547,0.13175476886805543,,
unet,cracks,thebe,0.36,,,,,25.692168796663243
unet,cracks,pretrain_synth,0.51,,,,29.63134321995569,
unet,cracks,pretrain_synth,0.66,340.0,0.1644651219312425,0.157648712060228,,
unet,cracks,pretrain_synth,0.76,,,,,21.87638228170943
